100,"[20.055084705352783, 22.07608199119568, 19.560988903045654, 20.52001714706421, 18.99983310699463]"
200,"[10.34972882270813, 9.431217193603516, 9.76043963432312, 8.88935399055481, 9.390036821365356]"
300,"[6.934665203094482, 6.924769639968872, 7.051663875579834, 6.967818975448608, 7.0550830364227295]"
400,"[5.343308925628662, 5.571187973022461, 5.750036954879761, 5.538680076599121, 4.883813858032227]"
500,"[4.947745084762573, 4.37277889251709, 4.166724920272827, 4.550937175750732, 4.9563891887664795]"
600,"[4.4957969188690186, 3.7407169342041016, 4.379562139511108, 3.550180196762085, 3.788612127304077]"
700,"[3.2177469730377197, 3.4187402725219727, 3.317841053009033, 3.1463100910186768, 3.5598270893096924]"
800,"[2.9178500175476074, 3.2453839778900146, 2.869166135787964, 2.7962069511413574, 2.8387768268585205]"
900,"[3.3918299674987793, 2.725602149963379, 2.547502040863037, 2.688936233520508, 2.9104249477386475]"
1000,"[2.348011016845703, 2.2363760471343994, 2.54072904586792, 2.3623340129852295, 2.4878311157226562]"
Average,"[20.24240117073059, 9.564155292510986, 6.9868001461029055, 5.4174055576324465, 4.598915052413941, 3.9909736633300783, 3.332093095779419, 2.933476781845093, 2.85285906791687, 2.3950562477111816]"
