100,"[39.83781099319458, 39.244866132736206, 37.94376802444458, 39.50162196159363, 40.117883920669556]"
200,"[18.206907033920288, 20.470377922058105, 20.8018159866333, 21.114614009857178, 19.338013172149658]"
300,"[13.728978157043457, 11.796567916870117, 12.814022779464722, 13.001634120941162, 13.127587080001831]"
400,"[10.46794605255127, 9.473315238952637, 9.144143104553223, 10.805680990219116, 9.491830110549927]"
500,"[9.191089868545532, 8.276691913604736, 7.428396224975586, 7.828085899353027, 8.24197006225586]"
600,"[6.3755271434783936, 6.990020990371704, 8.526383876800537, 6.52558708190918, 7.105767250061035]"
700,"[6.4072349071502686, 6.074251890182495, 5.223448038101196, 5.373620986938477, 6.168528079986572]"
800,"[4.938368082046509, 5.048585891723633, 5.146148681640625, 4.640244960784912, 4.3729870319366455]"
900,"[4.500380039215088, 4.6049792766571045, 5.0445098876953125, 4.342978000640869, 4.572220802307129]"
1000,"[3.7010910511016846, 3.568786144256592, 4.163603067398071, 3.2761778831481934, 3.6024160385131836]"
Average,"[39.32919020652771, 19.986345624923707, 12.893758010864257, 9.876583099365234, 8.193246793746948, 7.10465726852417, 5.849416780471802, 4.829266929626465, 4.6130136013031, 3.6624148368835447]"
